ko	Genes
ko:K21771	Tco_009523
ko:K05668	Tco_009524
ko:K21863	Tco_009524
ko:K19514	Tco_009525
ko:K09331	Tco_009526
ko:K20217	Tco_009531
ko:K02320	Tco_009534
ko:K01930	Tco_009535
ko:K04409	Tco_009535
ko:K01011	Tco_009536
ko:K06103	Tco_009539
ko:K04392	Tco_009541
ko:K00128	Tco_009542
ko:K00128	Tco_009543
ko:K04508	Tco_009544
ko:K14457	Tco_009549
ko:K14458	Tco_009549
ko:K14458	Tco_009550
ko:K14457	Tco_009551
ko:K12322	Tco_009552
ko:K12322	Tco_009553
ko:K00552	Tco_009566
ko:K10951	Tco_009568
ko:K09097	Tco_009581
ko:K04499	Tco_009588
ko:K15010	Tco_009590
ko:K14537	Tco_009602
ko:K06054	Tco_009606
ko:K22366	Tco_009613
ko:K16745	Tco_009618
ko:K16745	Tco_009619
ko:K05313	Tco_009627
ko:K15162	Tco_009639
ko:K11433	Tco_009645
ko:K09479	Tco_009649
ko:K12311	Tco_009650
ko:K12311	Tco_009652
ko:K18264	Tco_009655
ko:K18264	Tco_009658
ko:K16570	Tco_009659
ko:K01897	Tco_009672
ko:K18709	Tco_009692
ko:K17408	Tco_009694
ko:K19677	Tco_009695
ko:K19677	Tco_009696
ko:K00774	Tco_009701
ko:K01810	Tco_009705
ko:K07418	Tco_009707
ko:K09228	Tco_009709
ko:K12373	Tco_009711
ko:K12373	Tco_009717
ko:K12373	Tco_009718
ko:K12373	Tco_009720
ko:K20473	Tco_009740
ko:K18038	Tco_009753
ko:K19026	Tco_009755
ko:K19026	Tco_009756
ko:K11673	Tco_009758
ko:K07369	Tco_009760
ko:K07369	Tco_009761
ko:K03454	Tco_009764
ko:K03454	Tco_009766
ko:K02896	Tco_009768
ko:K10750	Tco_009777
ko:K11353	Tco_009778
ko:K13105	Tco_009779
ko:K18532	Tco_009780
ko:K07767	Tco_009781
ko:K00408	Tco_009783
ko:K00444	Tco_009783
ko:K10594	Tco_009785
ko:K10594	Tco_009786
ko:K10594	Tco_009787
ko:K10594	Tco_009788
ko:K08546	Tco_009809
ko:K08546	Tco_009810
ko:K10904	Tco_009811
ko:K14326	Tco_009814
ko:K00965	Tco_009815
ko:K10594	Tco_009819
ko:K10594	Tco_009820
ko:K10594	Tco_009821
ko:K19953	Tco_009825
ko:K14079	Tco_009830
ko:K14079	Tco_009831
ko:K01874	Tco_009839
ko:K01874	Tco_009840
ko:K12311	Tco_009845
ko:K12311	Tco_009846
ko:K01530	Tco_009847
ko:K14802	Tco_009847
ko:K12311	Tco_009849
ko:K07837	Tco_009850
ko:K07839	Tco_009850
ko:K09650	Tco_009851
ko:K11501	Tco_009854
ko:K01135	Tco_009855
ko:K02599	Tco_009856
ko:K08376	Tco_009860
ko:K04226	Tco_009862
ko:K04229	Tco_009867
ko:K12181	Tco_009868
ko:K02864	Tco_009870
ko:K16185	Tco_009871
ko:K14457	Tco_009872
ko:K07763	Tco_009883
ko:K00778	Tco_009884
ko:K00779	Tco_009884
ko:K07763	Tco_009887
ko:K00778	Tco_009888
ko:K00779	Tco_009888
ko:K19869	Tco_009895
ko:K08866	Tco_009908
ko:K01940	Tco_009909
ko:K08840	Tco_009912
ko:K11594	Tco_009913
ko:K04683	Tco_009914
ko:K09394	Tco_009914
ko:K02938	Tco_009915
ko:K02432	Tco_009919
ko:K03133	Tco_009932
ko:K14535	Tco_009932
ko:K03032	Tco_009933
ko:K03032	Tco_009939
ko:K01480	Tco_009941
ko:K01011	Tco_009943
ko:K04437	Tco_009944
ko:K04437	Tco_009945
ko:K04437	Tco_009946
ko:K04437	Tco_009947
ko:K19862	Tco_009948
ko:K10319	Tco_009954
ko:K01044	Tco_009965
ko:K07378	Tco_009965
ko:K17969	Tco_009971
ko:K11543	Tco_009973
ko:K05019	Tco_009974
ko:K10749	Tco_009975
ko:K10861	Tco_009975
ko:K21777	Tco_009975
ko:K04659	Tco_009976
ko:K10360	Tco_009978
ko:K10591	Tco_009981
ko:K06883	Tco_009982
ko:K10310	Tco_009983
ko:K11266	Tco_009984
ko:K03353	Tco_009986
ko:K13205	Tco_009987
ko:K21411	Tco_009988
ko:K13963	Tco_009991
ko:K13963	Tco_009994
ko:K13963	Tco_009995
ko:K01540	Tco_009998
ko:K01540	Tco_009999
ko:K18402	Tco_010001
ko:K11131	Tco_010002
ko:K12883	Tco_010005
ko:K19995	Tco_010009
ko:K08376	Tco_010010
ko:K08434	Tco_010010
ko:K19904	Tco_010011
ko:K19911	Tco_010011
ko:K03768	Tco_010013
ko:K17711	Tco_010014
ko:K12316	Tco_010016
ko:K04280	Tco_010020
ko:K04280	Tco_010023
ko:K12615	Tco_010024
ko:K10951	Tco_010025
ko:K10951	Tco_010026
ko:K07841	Tco_010031
ko:K02264	Tco_010033
ko:K11339	Tco_010034
ko:K13963	Tco_010037
ko:K13963	Tco_010038
ko:K13963	Tco_010039
ko:K13963	Tco_010040
ko:K09273	Tco_010042
ko:K12041	Tco_010042
ko:K12947	Tco_010045
ko:K01965	Tco_010046
ko:K11840	Tco_010047
ko:K07847	Tco_010048
ko:K13710	Tco_010048
ko:K00547	Tco_010049
ko:K14206	Tco_010050
ko:K16573	Tco_010050
ko:K14206	Tco_010051
ko:K16573	Tco_010051
ko:K09577	Tco_010056
ko:K04550	Tco_010058
ko:K01586	Tco_010059
ko:K13808	Tco_010060
ko:K17890	Tco_010062
ko:K03440	Tco_010064
ko:K14818	Tco_010064
ko:K17264	Tco_010065
ko:K19398	Tco_010066
ko:K17778	Tco_010072
ko:K18270	Tco_010080
ko:K19612	Tco_010083
ko:K14206	Tco_010084
ko:K16573	Tco_010084
ko:K03959	Tco_010085
ko:K04397	Tco_010086
ko:K04398	Tco_010086
ko:K04400	Tco_010086
ko:K08821	Tco_010087
ko:K10369	Tco_010090
ko:K01044	Tco_010092
ko:K01049	Tco_010092
ko:K01049	Tco_010093
ko:K01063	Tco_010093
ko:K03927	Tco_010093
ko:K14999	Tco_010093
ko:K01044	Tco_010095
ko:K01049	Tco_010095
ko:K01050	Tco_010095
ko:K01063	Tco_010095
ko:K03927	Tco_010095
ko:K01049	Tco_010097
ko:K01063	Tco_010097
ko:K03927	Tco_010097
ko:K14999	Tco_010097
ko:K01049	Tco_010098
ko:K01063	Tco_010098
ko:K03927	Tco_010098
ko:K14999	Tco_010098
ko:K01049	Tco_010099
ko:K01063	Tco_010099
ko:K03927	Tco_010099
ko:K01049	Tco_010100
ko:K03927	Tco_010100
ko:K14999	Tco_010100
ko:K01049	Tco_010101
ko:K03927	Tco_010101
ko:K01049	Tco_010102
ko:K01063	Tco_010102
ko:K03927	Tco_010102
ko:K14999	Tco_010102
ko:K01049	Tco_010103
ko:K01063	Tco_010103
ko:K03927	Tco_010103
ko:K14999	Tco_010103
ko:K01049	Tco_010104
ko:K01063	Tco_010104
ko:K03927	Tco_010104
ko:K14999	Tco_010104
ko:K01049	Tco_010105
ko:K03927	Tco_010105
ko:K14999	Tco_010105
ko:K01049	Tco_010106
ko:K01063	Tco_010106
ko:K03927	Tco_010106
ko:K14999	Tco_010106
ko:K01049	Tco_010107
ko:K01063	Tco_010107
ko:K03927	Tco_010107
ko:K14999	Tco_010107
ko:K01049	Tco_010108
ko:K01063	Tco_010108
ko:K03927	Tco_010108
ko:K14999	Tco_010108
ko:K01049	Tco_010109
ko:K01063	Tco_010109
ko:K03927	Tco_010109
ko:K14999	Tco_010109
ko:K01049	Tco_010110
ko:K01063	Tco_010110
ko:K03927	Tco_010110
ko:K14999	Tco_010110
ko:K01049	Tco_010111
ko:K01063	Tco_010111
ko:K03927	Tco_010111
ko:K14999	Tco_010111
ko:K01049	Tco_010113
ko:K01063	Tco_010113
ko:K03927	Tco_010113
ko:K14999	Tco_010113
ko:K01049	Tco_010114
ko:K03927	Tco_010114
ko:K01049	Tco_010115
ko:K01063	Tco_010115
ko:K03927	Tco_010115
ko:K14999	Tco_010115
ko:K01049	Tco_010116
ko:K01063	Tco_010116
ko:K03927	Tco_010116
ko:K14999	Tco_010116
ko:K01050	Tco_010117
ko:K01063	Tco_010117
ko:K01049	Tco_010118
ko:K01063	Tco_010118
ko:K03927	Tco_010118
ko:K01049	Tco_010119
ko:K01063	Tco_010119
ko:K03927	Tco_010119
ko:K14999	Tco_010119
ko:K01049	Tco_010120
ko:K01063	Tco_010120
ko:K03927	Tco_010120
ko:K14999	Tco_010120
ko:K01049	Tco_010121
ko:K01063	Tco_010121
ko:K03927	Tco_010121
ko:K14999	Tco_010121
ko:K01050	Tco_010122
ko:K01063	Tco_010122
ko:K01203	Tco_010126
ko:K12047	Tco_010126
ko:K12600	Tco_010127
ko:K11968	Tco_010128
ko:K09495	Tco_010130
ko:K02920	Tco_010134
ko:K05288	Tco_010135
ko:K01893	Tco_010138
ko:K02902	Tco_010138
ko:K13140	Tco_010139
ko:K00799	Tco_010140
ko:K02959	Tco_010141
ko:K11316	Tco_010142
ko:K13352	Tco_010151
ko:K17435	Tco_010152
ko:K20101	Tco_010155
ko:K04977	Tco_010158
ko:K04978	Tco_010158
ko:K19367	Tco_010159
ko:K02914	Tco_010160
ko:K13701	Tco_010161
ko:K16589	Tco_010165
ko:K12882	Tco_010167
ko:K03364	Tco_010168
ko:K10425	Tco_010169
ko:K06232	Tco_010173
ko:K11986	Tco_010174
ko:K09260	Tco_010176
ko:K04706	Tco_010178
ko:K16063	Tco_010178
ko:K16064	Tco_010178
ko:K03940	Tco_010179
ko:K11860	Tco_010180
ko:K00504	Tco_010181
ko:K12597	Tco_010181
ko:K18200	Tco_010181
ko:K18200	Tco_010182
ko:K10699	Tco_010185
ko:K06101	Tco_010186
ko:K10582	Tco_010187
ko:K17917	Tco_010189
ko:K04352	Tco_010191
ko:K20823	Tco_010196
ko:K03511	Tco_010197
ko:K07179	Tco_010198
ko:K09876	Tco_010201
ko:K09877	Tco_010201
ko:K09886	Tco_010201
ko:K10404	Tco_010201
ko:K10277	Tco_010205
ko:K00902	Tco_010206
ko:K21358	Tco_010207
ko:K08371	Tco_010211
ko:K14291	Tco_010212
ko:K08958	Tco_010213
ko:K14549	Tco_010214
ko:K06883	Tco_010215
ko:K14826	Tco_010217
ko:K05312	Tco_010221
ko:K05312	Tco_010223
ko:K05312	Tco_010228
ko:K05312	Tco_010229
ko:K05312	Tco_010230
ko:K02332	Tco_010232
ko:K01456	Tco_010233
ko:K16584	Tco_010235
ko:K17307	Tco_010237
ko:K04356	Tco_010241
ko:K20226	Tco_010242
ko:K14536	Tco_010243
ko:K17917	Tco_010258
ko:K20840	Tco_010258
ko:K14613	Tco_010259
ko:K17917	Tco_010259
ko:K20840	Tco_010259
ko:K19054	Tco_010262
ko:K01359	Tco_010263
ko:K17268	Tco_010265
ko:K10349	Tco_010266
ko:K10847	Tco_010267
ko:K00006	Tco_010268
ko:K21862	Tco_010281
ko:K03065	Tco_010283
ko:K09452	Tco_010285
ko:K09332	Tco_010286
ko:K17292	Tco_010287
ko:K12397	Tco_010288
ko:K17776	Tco_010290
ko:K07611	Tco_010291
ko:K04265	Tco_010297
ko:K01187	Tco_010298
ko:K01187	Tco_010300
ko:K13203	Tco_010302
ko:K07854	Tco_010303
ko:K01796	Tco_010308
ko:K09048	Tco_010311
ko:K04082	Tco_010312
ko:K15151	Tco_010312
ko:K04527	Tco_010313
ko:K05087	Tco_010313
ko:K10310	Tco_010314
ko:K08283	Tco_010315
ko:K12176	Tco_010316
ko:K11792	Tco_010317
ko:K17866	Tco_010318
ko:K00021	Tco_010319
ko:K17936	Tco_010323
ko:K14559	Tco_010324
ko:K05692	Tco_010336
ko:K10355	Tco_010336
ko:K01792	Tco_010338
ko:K11713	Tco_010339
ko:K01203	Tco_010340
ko:K01187	Tco_010340
ko:K12047	Tco_010340
ko:K13129	Tco_010344
ko:K02895	Tco_010345
ko:K13096	Tco_010346
ko:K06279	Tco_010348
ko:K17578	Tco_010349
ko:K01201	Tco_010363
ko:K16605	Tco_010364
ko:K14544	Tco_010367
ko:K12405	Tco_010368
ko:K06238	Tco_010369
ko:K12405	Tco_010369
ko:K15293	Tco_010371
ko:K16459	Tco_010372
ko:K11590	Tco_010374
ko:K01441	Tco_010375
ko:K04711	Tco_010375
ko:K06669	Tco_010376
ko:K10594	Tco_010383
ko:K04729	Tco_010408
ko:K08155	Tco_010415
ko:K20015	Tco_010427
ko:K02916	Tco_010430
ko:K15053	Tco_010431
ko:K06669	Tco_010432
ko:K12259	Tco_010433
ko:K15014	Tco_010435
ko:K16732	Tco_010437
ko:K20182	Tco_010439
ko:K11687	Tco_010444
ko:K05860	Tco_010445
ko:K15695	Tco_010453
ko:K21246	Tco_010455
ko:K01262	Tco_010456
ko:K01053	Tco_010462
ko:K06676	Tco_010462
ko:K17405	Tco_010464
ko:K10600	Tco_010465
ko:K11153	Tco_010472
ko:K11153	Tco_010477
ko:K05304	Tco_010481
ko:K06569	Tco_010482
ko:K11687	Tco_010493
ko:K17618	Tco_010494
ko:K20365	Tco_010495
ko:K14611	Tco_010504
ko:K10649	Tco_010505
ko:K20840	Tco_010520
ko:K11984	Tco_010521
ko:K08081	Tco_010522
ko:K17548	Tco_010525
ko:K03351	Tco_010539
ko:K17675	Tco_010545
ko:K08957	Tco_010547
ko:K21798	Tco_010550
ko:K02104	Tco_010555
ko:K12657	Tco_010556
ko:K03362	Tco_010557
ko:K03512	Tco_010560
ko:K14810	Tco_010561
ko:K12820	Tco_010562
ko:K14305	Tco_010562
ko:K14816	Tco_010570
ko:K13963	Tco_010602
ko:K13443	Tco_010605
ko:K15196	Tco_010606
ko:K15196	Tco_010607
ko:K13704	Tco_010608
ko:K22370	Tco_010609
ko:K15025	Tco_010612
ko:K05674	Tco_010615
ko:K15128	Tco_010616
ko:K05736	Tco_010620
ko:K06497	Tco_010621
ko:K18259	Tco_010622
ko:K18259	Tco_010623
ko:K11984	Tco_010624
ko:K17580	Tco_010627
ko:K08815	Tco_010631
ko:K14301	Tco_010682
ko:K06173	Tco_010683
ko:K20674	Tco_010683
ko:K19832	Tco_010684
ko:K12880	Tco_010685
ko:K15464	Tco_010686
ko:K18416	Tco_010688
ko:K17618	Tco_010689
ko:K01217	Tco_010700
ko:K00791	Tco_010701
ko:K07371	Tco_010702
ko:K07371	Tco_010704
ko:K00710	Tco_010708
ko:K12235	Tco_010710
ko:K10667	Tco_010711
ko:K13187	Tco_010713
ko:K13619	Tco_010715
ko:K00962	Tco_010716
ko:K19496	Tco_010722
ko:K20826	Tco_010722
ko:K15212	Tco_010729
ko:K06990	Tco_010731
ko:K14794	Tco_010735
ko:K12259	Tco_010736
ko:K20520	Tco_010737
ko:K00819	Tco_010738
ko:K04148	Tco_010752
ko:K14611	Tco_010753
ko:K19329	Tco_010754
ko:K06997	Tco_010756
ko:K12900	Tco_010757
ko:K12900	Tco_010758
ko:K16865	Tco_010761
ko:K01080	Tco_010762
ko:K01899	Tco_010762
ko:K10837	Tco_010764
ko:K03265	Tco_010765
ko:K09680	Tco_010766
ko:K15617	Tco_010770
ko:K13025	Tco_010771
ko:K00109	Tco_010772
ko:K15719	Tco_010774
ko:K09499	Tco_010775
ko:K21486	Tco_010777
ko:K12625	Tco_010778
ko:K20120	Tco_010780
ko:K10712	Tco_010781
ko:K09203	Tco_010782
ko:K18757	Tco_010782
ko:K04284	Tco_010786
ko:K04533	Tco_010787
ko:K05955	Tco_010788
ko:K17424	Tco_010790
ko:K14834	Tco_010791
ko:K14026	Tco_010793
ko:K07560	Tco_010794
ko:K12366	Tco_010795
ko:K14816	Tco_010797
ko:K10669	Tco_010798
ko:K09492	Tco_010799
ko:K02210	Tco_010802
ko:K15262	Tco_010803
ko:K18624	Tco_010804
ko:K01365	Tco_010809
ko:K16719	Tco_010811
ko:K09104	Tco_010813
ko:K03996	Tco_010836
ko:K06091	Tco_010842
ko:K00974	Tco_010844
ko:K14970	Tco_010846
ko:K02270	Tco_010848
ko:K02270	Tco_010849
ko:K08817	Tco_010853
ko:K10267	Tco_010853
ko:K18086	Tco_010853
ko:K04734	Tco_010856
ko:K01870	Tco_010857
ko:K19937	Tco_010858
ko:K04734	Tco_010859
ko:K09553	Tco_010859
ko:K05765	Tco_010861
ko:K19655	Tco_010866
ko:K04648	Tco_010870
ko:K04496	Tco_010872
ko:K03877	Tco_010873
ko:K07820	Tco_010873
ko:K04461	Tco_010898
ko:K04417	Tco_010900
ko:K05699	Tco_010901
ko:K11800	Tco_010906
ko:K09849	Tco_010907
ko:K00670	Tco_010908
ko:K08658	Tco_010909
ko:K08658	Tco_010910
ko:K11153	Tco_010911
ko:K11161	Tco_010911
ko:K11153	Tco_010912
ko:K11161	Tco_010912
ko:K03103	Tco_010925
ko:K11592	Tco_010927
ko:K10768	Tco_010928
ko:K11165	Tco_010931
ko:K10473	Tco_010932
ko:K03348	Tco_010933
ko:K04506	Tco_010934
ko:K11153	Tco_010934
ko:K11161	Tco_010934
ko:K04506	Tco_010935
ko:K03926	Tco_010937
ko:K12893	Tco_010938
ko:K03262	Tco_010940
ko:K11592	Tco_010942
ko:K22390	Tco_010943
ko:K14842	Tco_010946
ko:K21843	Tco_010947
ko:K02183	Tco_010950
ko:K00688	Tco_010952
ko:K06832	Tco_010953
ko:K10091	Tco_010953
ko:K10093	Tco_010953
ko:K20300	Tco_010953
ko:K21763	Tco_010954
ko:K21763	Tco_010956
ko:K01301	Tco_010967
ko:K01301	Tco_010968
ko:K07874	Tco_010969
ko:K22371	Tco_010970
ko:K04569	Tco_010971
ko:K22371	Tco_010972
ko:K00799	Tco_010973
ko:K10746	Tco_010975
ko:K19473	Tco_010982
ko:K15614	Tco_010990
ko:K19472	Tco_010990
ko:K15615	Tco_010994
ko:K19474	Tco_010994
ko:K13168	Tco_010996
ko:K22045	Tco_011008
ko:K22045	Tco_011010
ko:K06115	Tco_011026
ko:K20183	Tco_011028
ko:K02149	Tco_011029
ko:K13514	Tco_011031
ko:K13514	Tco_011032
ko:K19023	Tco_011036
ko:K06268	Tco_011037
ko:K19027	Tco_011038
ko:K10950	Tco_011039
ko:K19365	Tco_011040
ko:K09031	Tco_011042
ko:K20352	Tco_011043
ko:K00963	Tco_011045
ko:K00025	Tco_011046
ko:K01476	Tco_011047
ko:K14376	Tco_011048
ko:K04716	Tco_011057
ko:K01757	Tco_011060
ko:K21407	Tco_011060
ko:K00962	Tco_011061
ko:K01757	Tco_011063
ko:K21407	Tco_011063
ko:K17682	Tco_011065
ko:K01873	Tco_011067
ko:K10325	Tco_011070
ko:K09057	Tco_011071
ko:K02950	Tco_011072
ko:K11864	Tco_011074
ko:K10251	Tco_011078
ko:K11323	Tco_011079
ko:K17923	Tco_011102
ko:K03848	Tco_011103
ko:K07963	Tco_011105
ko:K08057	Tco_011106
ko:K01974	Tco_011108
ko:K00710	Tco_011109
ko:K09602	Tco_011110
ko:K18408	Tco_011113
ko:K13217	Tco_011116
ko:K14300	Tco_011118
ko:K12343	Tco_011121
ko:K10306	Tco_011122
ko:K13159	Tco_011123
ko:K09680	Tco_011124
ko:K21915	Tco_011124
ko:K17569	Tco_011125
ko:K06927	Tco_011126
ko:K20198	Tco_011127
ko:K17277	Tco_011128
ko:K21852	Tco_011131
ko:K09828	Tco_011133
ko:K16744	Tco_011135
ko:K18741	Tco_011136
ko:K05857	Tco_011137
ko:K15370	Tco_011137
ko:K05695	Tco_011140
ko:K00573	Tco_011157
ko:K02427	Tco_011158
ko:K14864	Tco_011158
ko:K06072	Tco_011163
ko:K08187	Tco_011163
ko:K18160	Tco_011172
ko:K12396	Tco_011174
ko:K14303	Tco_011203
ko:K06053	Tco_011204
ko:K07575	Tco_011208
ko:K09459	Tco_011209
ko:K11251	Tco_011210
ko:K11252	Tco_011211
ko:K11275	Tco_011211
ko:K11253	Tco_011212
ko:K11275	Tco_011213
ko:K11253	Tco_011214
ko:K11254	Tco_011214
ko:K11251	Tco_011215
ko:K10638	Tco_011216
ko:K13800	Tco_011217
ko:K16724	Tco_011218
ko:K15169	Tco_011219
ko:K18186	Tco_011220
ko:K22063	Tco_011221
ko:K05213	Tco_011223
ko:K05213	Tco_011226
ko:K03241	Tco_011228
ko:K12849	Tco_011231
ko:K01908	Tco_011233
ko:K01908	Tco_011234
ko:K01641	Tco_011238
ko:K15198	Tco_011239
ko:K12393	Tco_011241
ko:K06890	Tco_011243
ko:K00787	Tco_011244
ko:K13960	Tco_011245
ko:K12623	Tco_011247
ko:K06662	Tco_011251
ko:K00720	Tco_011252
ko:K11791	Tco_011257
ko:K01265	Tco_011258
ko:K17921	Tco_011258
ko:K15166	Tco_011262
ko:K21630	Tco_011263
ko:K16309	Tco_011264
ko:K07178	Tco_011265
ko:K08524	Tco_011269
ko:K13218	Tco_011269
ko:K01764	Tco_011285
ko:K17610	Tco_011286
ko:K17610	Tco_011287
ko:K14006	Tco_011288
ko:K16307	Tco_011289
ko:K14527	Tco_011291
ko:K16196	Tco_011292
ko:K11996	Tco_011293
ko:K11996	Tco_011294
ko:K11996	Tco_011295
ko:K03358	Tco_011297
ko:K00913	Tco_011298
ko:K03364	Tco_011299
ko:K14823	Tco_011300
ko:K12876	Tco_011301
ko:K07198	Tco_011307
ko:K00288	Tco_011310
ko:K00288	Tco_011311
ko:K13402	Tco_011311
ko:K13403	Tco_011311
ko:K06699	Tco_011312
ko:K13751	Tco_011314
ko:K13752	Tco_011314
ko:K13753	Tco_011314
ko:K15111	Tco_011315
ko:K03031	Tco_011319
ko:K03064	Tco_011320
ko:K09382	Tco_011324
ko:K15110	Tco_011325
ko:K13114	Tco_011327
ko:K13751	Tco_011328
ko:K13752	Tco_011328
ko:K13753	Tco_011328
ko:K00166	Tco_011330
ko:K18179	Tco_011331
ko:K17906	Tco_011334
ko:K11187	Tco_011335
ko:K07199	Tco_011336
ko:K00717	Tco_011344
ko:K21894	Tco_011347
ko:K06832	Tco_011348
ko:K10091	Tco_011348
ko:K06269	Tco_011349
ko:K19328	Tco_011350
ko:K14715	Tco_011356
ko:K17790	Tco_011357
ko:K20304	Tco_011359
ko:K10479	Tco_011364
ko:K19199	Tco_011367
ko:K04214	Tco_011368
ko:K06051	Tco_011378
ko:K07232	Tco_011383
ko:K11665	Tco_011386
ko:K21768	Tco_011388
ko:K04712	Tco_011390
ko:K04712	Tco_011391
ko:K05700	Tco_011392
ko:K05700	Tco_011393
ko:K14566	Tco_011400
ko:K17608	Tco_011401
ko:K12403	Tco_011402
ko:K20368	Tco_011403
ko:K15109	Tco_011406
ko:K09201	Tco_011407
ko:K01310	Tco_011408
ko:K13350	Tco_011409
ko:K03006	Tco_011414
ko:K18626	Tco_011416
ko:K09204	Tco_011429
ko:K01754	Tco_011436
ko:K11318	Tco_011437
ko:K01487	Tco_011440
ko:K01487	Tco_011445
ko:K13963	Tco_011455
ko:K13982	Tco_011457
ko:K15446	Tco_011458
ko:K10839	Tco_011459
ko:K18180	Tco_011460
ko:K14782	Tco_011461
ko:K07555	Tco_011462
ko:K04669	Tco_011463
ko:K08465	Tco_011464
ko:K04596	Tco_011464
ko:K07766	Tco_011469
ko:K07952	Tco_011470
ko:K07903	Tco_011471
ko:K10848	Tco_011472
ko:K14296	Tco_011473
ko:K14786	Tco_011474
ko:K03875	Tco_011476
ko:K22369	Tco_011477
ko:K15014	Tco_011478
ko:K18025	Tco_011479
ko:K13144	Tco_011481
ko:K11660	Tco_011484
ko:K09569	Tco_011485
ko:K06115	Tco_011488
ko:K07508	Tco_011489
ko:K10737	Tco_011490
ko:K00002	Tco_011491
ko:K00002	Tco_011493
ko:K16610	Tco_011494
ko:K16610	Tco_011495
ko:K01939	Tco_011496
ko:K05849	Tco_011498
ko:K05849	Tco_011504
ko:K15616	Tco_011537
ko:K17622	Tco_011537
ko:K08131	Tco_011538
ko:K12755	Tco_011541
ko:K12757	Tco_011541
ko:K16673	Tco_011542
ko:K14394	Tco_011548
ko:K14820	Tco_011550
ko:K14322	Tco_011551
ko:K09506	Tco_011552
ko:K10314	Tco_011553
ko:K05122	Tco_011557
ko:K04984	Tco_011558
ko:K04984	Tco_011559
ko:K04984	Tco_011560
ko:K19949	Tco_011561
ko:K07817	Tco_011562
ko:K12386	Tco_011576
ko:K16686	Tco_011576
ko:K17436	Tco_011577
ko:K13120	Tco_011579
ko:K09172	Tco_011580
ko:K09172	Tco_011581
ko:K05855	Tco_011585
ko:K07360	Tco_011585
ko:K14313	Tco_011587
ko:K09699	Tco_011589
ko:K03439	Tco_011590
ko:K20166	Tco_011591
ko:K02134	Tco_011599
ko:K12736	Tco_011600
ko:K00416	Tco_011601
ko:K22188	Tco_011602
ko:K12736	Tco_011603
ko:K10875	Tco_011604
ko:K00103	Tco_011606
ko:K04977	Tco_011609
ko:K04978	Tco_011609
ko:K04977	Tco_011610
ko:K04978	Tco_011610
ko:K07195	Tco_011611
ko:K07195	Tco_011612
ko:K03681	Tco_011616
ko:K04994	Tco_011618
ko:K03671	Tco_011619
ko:K03671	Tco_011622
ko:K08861	Tco_011623
ko:K18418	Tco_011625
ko:K02649	Tco_011628
ko:K20780	Tco_011646
ko:K11273	Tco_011649
ko:K02877	Tco_011651
ko:K14306	Tco_011652
ko:K09174	Tco_011654
ko:K19521	Tco_011655
ko:K08504	Tco_011656
ko:K18398	Tco_011657
ko:K18424	Tco_011657
ko:K13165	Tco_011661
ko:K16365	Tco_011662
ko:K20310	Tco_011663
ko:K02734	Tco_011666
ko:K08828	Tco_011667
ko:K08829	Tco_011667
ko:K10436	Tco_011668
ko:K08731	Tco_011669
ko:K10350	Tco_011670
ko:K12877	Tco_011672
ko:K13124	Tco_011673
ko:K20056	Tco_011674
ko:K20056	Tco_011675
ko:K07441	Tco_011677
ko:K07055	Tco_011685
ko:K17582	Tco_011686
ko:K05286	Tco_011687
ko:K17582	Tco_011688
ko:K20465	Tco_011697
ko:K16531	Tco_011701
ko:K16531	Tco_011703
ko:K15069	Tco_011705
ko:K19758	Tco_011705
ko:K03595	Tco_011706
ko:K16531	Tco_011707
ko:K08789	Tco_011711
ko:K13110	Tco_011712
ko:K08059	Tco_011713
ko:K13110	Tco_011714
ko:K13110	Tco_011716
ko:K13110	Tco_011717
ko:K08059	Tco_011718
ko:K01816	Tco_011719
ko:K12389	Tco_011720
ko:K19491	Tco_011722
ko:K19490	Tco_011724
ko:K19491	Tco_011724
ko:K05695	Tco_011730
ko:K06776	Tco_011730
ko:K14012	Tco_011731
ko:K14314	Tco_011733
ko:K00700	Tco_011734
ko:K11340	Tco_011735
ko:K11652	Tco_011735
ko:K19770	Tco_011737
ko:K14846	Tco_011739
ko:K15201	Tco_011742
ko:K05750	Tco_011743
ko:K00858	Tco_011744
ko:K10393	Tco_011745
ko:K10777	Tco_011746
ko:K15201	Tco_011746
ko:K07756	Tco_011750
ko:K19352	Tco_011751
ko:K17696	Tco_011760
ko:K10645	Tco_011764
ko:K10645	Tco_011766
ko:K10382	Tco_011783
ko:K00569	Tco_011784
ko:K00569	Tco_011785
ko:K19753	Tco_011787
ko:K16310	Tco_011794
ko:K13208	Tco_011800
ko:K13208	Tco_011801
ko:K02999	Tco_011807
ko:K10395	Tco_011808
ko:K01855	Tco_011809
ko:K13110	Tco_011810
ko:K15272	Tco_011811
ko:K05129	Tco_011812
ko:K09525	Tco_011813
ko:K15172	Tco_011814
ko:K15172	Tco_011815
ko:K04261	Tco_011816
ko:K08789	Tco_011818
ko:K05310	Tco_011819
ko:K01551	Tco_011821
ko:K16342	Tco_011822
ko:K19219	Tco_011822
ko:K11985	Tco_011823
ko:K11985	Tco_011824
ko:K03956	Tco_011826
ko:K01273	Tco_011827
ko:K07508	Tco_011829
ko:K16831	Tco_011830
ko:K18633	Tco_011831
ko:K01358	Tco_011832
ko:K20476	Tco_011833
ko:K15365	Tco_011834
ko:K04615	Tco_011839
