KOG	Genes
T	Tco_005416
T	Tco_005417
K	Tco_005418
U	Tco_005419
A	Tco_005420
U	Tco_005421
T	Tco_005422
O	Tco_005423
P	Tco_005424
C	Tco_005426
S	Tco_005427
P	Tco_005429
H	Tco_005430
T	Tco_005431
G	Tco_005432
T	Tco_005433
L	Tco_005434
O	Tco_005435
C	Tco_005436
T	Tco_005437
E	Tco_005438
S	Tco_005439
U	Tco_005440
K	Tco_005441
U	Tco_005442
T	Tco_005443
U	Tco_005444
A	Tco_005446
U	Tco_005447
K	Tco_005448
S	Tco_005450
O	Tco_005451
S	Tco_005452
O	Tco_005453
S	Tco_005457
L	Tco_005458
S	Tco_005459
L	Tco_005462
S	Tco_005466
S	Tco_005468
K	Tco_005469
T	Tco_005470
A	Tco_005471
A	Tco_005472
S	Tco_005473
U	Tco_005474
U	Tco_005475
T	Tco_005476
G	Tco_005481
T	Tco_005482
T	Tco_005484
G	Tco_005488
O	Tco_005491
T	Tco_005493
S	Tco_005495
S	Tco_005496
S	Tco_005497
T	Tco_005500
S	Tco_005501
O	Tco_005511
T	Tco_005513
T	Tco_005519
Z	Tco_005520
S	Tco_005521
P	Tco_005522
S	Tco_005522
H	Tco_005523
I	Tco_005524
I	Tco_005525
K	Tco_005526
O	Tco_005527
S	Tco_005528
O	Tco_005529
S	Tco_005531
T	Tco_005533
E	Tco_005534
K	Tco_005535
G	Tco_005536
IT	Tco_005537
O	Tco_005542
Z	Tco_005543
P	Tco_005544
I	Tco_005545
J	Tco_005550
S	Tco_005551
Z	Tco_005553
G	Tco_005558
S	Tco_005559
V	Tco_005562
V	Tco_005563
V	Tco_005564
V	Tco_005565
V	Tco_005566
V	Tco_005567
V	Tco_005568
T	Tco_005569
G	Tco_005570
K	Tco_005571
J	Tco_005572
K	Tco_005573
C	Tco_005574
T	Tco_005576
C	Tco_005578
EI	Tco_005579
T	Tco_005588
T	Tco_005589
T	Tco_005591
P	Tco_005592
U	Tco_005593
I	Tco_005594
T	Tco_005595
C	Tco_005596
O	Tco_005597
K	Tco_005607
K	Tco_005608
S	Tco_005609
S	Tco_005610
C	Tco_005611
S	Tco_005612
G	Tco_005614
G	Tco_005615
G	Tco_005616
G	Tco_005617
O	Tco_005618
O	Tco_005619
J	Tco_005620
A	Tco_005621
Z	Tco_005622
S	Tco_005624
U	Tco_005625
Z	Tco_005626
S	Tco_005627
A	Tco_005629
K	Tco_005630
J	Tco_005631
J	Tco_005632
P	Tco_005633
T	Tco_005635
G	Tco_005636
K	Tco_005637
S	Tco_005638
S	Tco_005639
T	Tco_005640
J	Tco_005641
T	Tco_005650
F	Tco_005654
EO	Tco_005655
EO	Tco_005656
H	Tco_005657
C	Tco_005658
DL	Tco_005659
K	Tco_005660
B	Tco_005661
S	Tco_005663
K	Tco_005665
I	Tco_005667
K	Tco_005668
J	Tco_005670
H	Tco_005671
V	Tco_005672
G	Tco_005673
Z	Tco_005675
O	Tco_005677
K	Tco_005681
O	Tco_005682
A	Tco_005690
S	Tco_005691
S	Tco_005692
K	Tco_005694
S	Tco_005717
T	Tco_005718
U	Tco_005721
P	Tco_005727
P	Tco_005728
U	Tco_005730
O	Tco_005731
A	Tco_005740
A	Tco_005743
O	Tco_005745
Z	Tco_005752
Z	Tco_005753
S	Tco_005754
D	Tco_005755
F	Tco_005756
T	Tco_005757
S	Tco_005761
O	Tco_005762
O	Tco_005763
O	Tco_005764
I	Tco_005766
S	Tco_005767
S	Tco_005768
S	Tco_005769
S	Tco_005770
I	Tco_005772
K	Tco_005774
K	Tco_005775
K	Tco_005777
K	Tco_005779
K	Tco_005783
K	Tco_005788
K	Tco_005795
K	Tco_005797
K	Tco_005802
K	Tco_005803
K	Tco_005820
K	Tco_005828
T	Tco_005829
L	Tco_005830
O	Tco_005831
O	Tco_005832
O	Tco_005833
O	Tco_005834
O	Tco_005835
O	Tco_005836
O	Tco_005837
O	Tco_005838
D	Tco_005839
S	Tco_005840
K	Tco_005841
O	Tco_005842
O	Tco_005843
U	Tco_005846
T	Tco_005847
S	Tco_005850
A	Tco_005851
F	Tco_005852
K	Tco_005853
A	Tco_005855
A	Tco_005856
H	Tco_005863
A	Tco_005864
O	Tco_005865
S	Tco_005866
L	Tco_005867
K	Tco_005870
S	Tco_005880
S	Tco_005881
Q	Tco_005882
O	Tco_005883
E	Tco_005884
O	Tco_005885
O	Tco_005887
O	Tco_005888
T	Tco_005889
K	Tco_005890
U	Tco_005891
T	Tco_005893
DU	Tco_005895
S	Tco_005896
S	Tco_005897
T	Tco_005899
FQ	Tco_005903
T	Tco_005904
S	Tco_005906
T	Tco_005907
T	Tco_005908
E	Tco_005910
S	Tco_005911
A	Tco_005912
S	Tco_005913
K	Tco_005914
U	Tco_005918
S	Tco_005920
G	Tco_005923
G	Tco_005924
G	Tco_005925
S	Tco_005927
U	Tco_005931
U	Tco_005932
A	Tco_005937
G	Tco_005938
T	Tco_005940
K	Tco_005944
P	Tco_005948
S	Tco_005950
S	Tco_005951
O	Tco_005953
F	Tco_005955
K	Tco_005956
K	Tco_005961
K	Tco_005963
T	Tco_005965
K	Tco_005968
O	Tco_005969
S	Tco_005970
T	Tco_005972
S	Tco_005973
F	Tco_005974
D	Tco_005975
S	Tco_005982
S	Tco_005983
K	Tco_005985
O	Tco_005988
O	Tco_005994
Z	Tco_005995
T	Tco_005996
S	Tco_005999
A	Tco_006000
Q	Tco_006001
F	Tco_006002
S	Tco_006002
S	Tco_006003
I	Tco_006006
T	Tco_006007
G	Tco_006008
S	Tco_006009
S	Tco_006010
T	Tco_006011
Z	Tco_006012
MV	Tco_006015
S	Tco_006016
I	Tco_006021
L	Tco_006024
S	Tco_006036
O	Tco_006038
S	Tco_006040
J	Tco_006041
Z	Tco_006042
O	Tco_006045
O	Tco_006046
U	Tco_006048
S	Tco_006049
O	Tco_006051
G	Tco_006052
S	Tco_006053
S	Tco_006054
H	Tco_006062
S	Tco_006063
T	Tco_006066
U	Tco_006067
I	Tco_006069
K	Tco_006070
K	Tco_006071
K	Tco_006076
O	Tco_006079
S	Tco_006082
S	Tco_006084
S	Tco_006085
S	Tco_006086
O	Tco_006087
T	Tco_006088
S	Tco_006089
S	Tco_006091
L	Tco_006094
S	Tco_006095
S	Tco_006096
S	Tco_006098
S	Tco_006099
T	Tco_006100
S	Tco_006101
T	Tco_006102
T	Tco_006104
T	Tco_006105
Z	Tco_006106
D	Tco_006109
I	Tco_006110
S	Tco_006118
O	Tco_006121
J	Tco_006122
C	Tco_006124
S	Tco_006127
DKL	Tco_006128
Z	Tco_006130
K	Tco_006131
L	Tco_006136
L	Tco_006137
C	Tco_006138
L	Tco_006161
O	Tco_006163
S	Tco_006164
G	Tco_006170
E	Tco_006172
Q	Tco_006176
Q	Tco_006177
S	Tco_006178
K	Tco_006180
O	Tco_006181
I	Tco_006182
S	Tco_006189
J	Tco_006191
S	Tco_006192
C	Tco_006193
C	Tco_006194
T	Tco_006201
O	Tco_006203
S	Tco_006204
S	Tco_006205
U	Tco_006207
S	Tco_006208
S	Tco_006209
O	Tco_006210
S	Tco_006211
K	Tco_006212
S	Tco_006214
S	Tco_006215
O	Tco_006218
S	Tco_006220
O	Tco_006221
A	Tco_006222
C	Tco_006223
O	Tco_006224
S	Tco_006225
S	Tco_006226
O	Tco_006227
Q	Tco_006228
A	Tco_006229
A	Tco_006230
A	Tco_006232
K	Tco_006233
S	Tco_006235
Z	Tco_006236
P	Tco_006238
P	Tco_006239
P	Tco_006240
P	Tco_006241
C	Tco_006242
BK	Tco_006243
D	Tco_006245
T	Tco_006246
G	Tco_006247
G	Tco_006249
G	Tco_006250
G	Tco_006252
G	Tco_006253
T	Tco_006254
C	Tco_006256
T	Tco_006265
U	Tco_006266
T	Tco_006269
S	Tco_006270
T	Tco_006271
T	Tco_006272
K	Tco_006273
S	Tco_006274
S	Tco_006275
O	Tco_006276
J	Tco_006277
O	Tco_006278
D	Tco_006278
K	Tco_006280
S	Tco_006281
T	Tco_006283
C	Tco_006284
T	Tco_006285
IT	Tco_006285
Q	Tco_006286
Q	Tco_006288
Q	Tco_006289
K	Tco_006291
J	Tco_006292
S	Tco_006293
E	Tco_006299
E	Tco_006300
E	Tco_006301
U	Tco_006302
J	Tco_006304
G	Tco_006305
T	Tco_006307
T	Tco_006308
G	Tco_006317
G	Tco_006318
G	Tco_006319
G	Tco_006323
G	Tco_006324
P	Tco_006330
K	Tco_006335
K	Tco_006336
E	Tco_006337
G	Tco_006338
G	Tco_006339
Z	Tco_006341
O	Tco_006342
A	Tco_006344
IMO	Tco_006345
S	Tco_006349
S	Tco_006350
S	Tco_006351
S	Tco_006352
S	Tco_006353
O	Tco_006354
O	Tco_006355
O	Tco_006356
G	Tco_006357
S	Tco_006358
A	Tco_006362
K	Tco_006363
S	Tco_006364
F	Tco_006365
D	Tco_006366
MU	Tco_006367
B	Tco_006368
S	Tco_006369
G	Tco_006370
G	Tco_006371
G	Tco_006372
G	Tco_006373
G	Tco_006374
G	Tco_006375
J	Tco_006376
Z	Tco_006377
G	Tco_006382
G	Tco_006383
S	Tco_006384
G	Tco_006385
Z	Tco_006386
S	Tco_006387
D	Tco_006388
Z	Tco_006390
P	Tco_006392
S	Tco_006393
P	Tco_006394
S	Tco_006395
S	Tco_006397
O	Tco_006399
T	Tco_006400
T	Tco_006402
T	Tco_006405
A	Tco_006412
T	Tco_006413
T	Tco_006414
A	Tco_006415
T	Tco_006417
S	Tco_006418
T	Tco_006419
Q	Tco_006420
U	Tco_006421
G	Tco_006422
H	Tco_006424
S	Tco_006425
S	Tco_006427
G	Tco_006428
O	Tco_006432
I	Tco_006435
S	Tco_006436
E	Tco_006437
O	Tco_006438
O	Tco_006439
S	Tco_006446
TU	Tco_006449
U	Tco_006450
E	Tco_006451
E	Tco_006452
U	Tco_006454
K	Tco_006455
S	Tco_006458
B	Tco_006459
T	Tco_006461
T	Tco_006463
I	Tco_006464
T	Tco_006466
O	Tco_006467
A	Tco_006468
T	Tco_006492
T	Tco_006495
K	Tco_006496
T	Tco_006498
K	Tco_006499
J	Tco_006500
S	Tco_006501
F	Tco_006502
A	Tco_006503
U	Tco_006504
BDL	Tco_006505
L	Tco_006508
S	Tco_006509
S	Tco_006510
T	Tco_006511
S	Tco_006513
S	Tco_006514
S	Tco_006515
U	Tco_006517
P	Tco_006519
O	Tco_006523
S	Tco_006525
T	Tco_006526
T	Tco_006527
J	Tco_006529
Z	Tco_006530
S	Tco_006531
S	Tco_006532
G	Tco_006533
T	Tco_006535
S	Tco_006536
P	Tco_006538
T	Tco_006539
K	Tco_006540
S	Tco_006541
S	Tco_006542
S	Tco_006543
S	Tco_006544
S	Tco_006545
P	Tco_006546
S	Tco_006547
U	Tco_006548
Q	Tco_006549
P	Tco_006551
A	Tco_006552
B	Tco_006554
B	Tco_006557
G	Tco_006558
S	Tco_006559
Q	Tco_006560
Q	Tco_006561
J	Tco_006564
B	Tco_006565
U	Tco_006566
EPT	Tco_006567
U	Tco_006568
S	Tco_006569
T	Tco_006570
T	Tco_006571
J	Tco_006574
A	Tco_006575
K	Tco_006576
S	Tco_006577
K	Tco_006578
O	Tco_006579
T	Tco_006580
T	Tco_006581
L	Tco_006582
A	Tco_006583
Q	Tco_006584
Q	Tco_006585
Q	Tco_006586
Q	Tco_006587
Q	Tco_006588
Q	Tco_006589
T	Tco_006591
T	Tco_006593
S	Tco_006594
U	Tco_006596
O	Tco_006597
O	Tco_006598
K	Tco_006599
W	Tco_006600
L	Tco_006601
S	Tco_006602
O	Tco_006603
T	Tco_006604
D	Tco_006605
BD	Tco_006607
G	Tco_006609
T	Tco_006610
P	Tco_006613
S	Tco_006614
S	Tco_006615
S	Tco_006616
S	Tco_006617
S	Tco_006618
S	Tco_006619
S	Tco_006620
T	Tco_006622
O	Tco_006623
TW	Tco_006624
G	Tco_006625
G	Tco_006626
G	Tco_006627
U	Tco_006628
PT	Tco_006629
S	Tco_006630
I	Tco_006631
Q	Tco_006632
S	Tco_006633
S	Tco_006635
S	Tco_006637
Q	Tco_006638
G	Tco_006639
S	Tco_006640
C	Tco_006641
DZ	Tco_006642
O	Tco_006643
T	Tco_006644
S	Tco_006646
E	Tco_006647
K	Tco_006648
S	Tco_006649
O	Tco_006650
H	Tco_006651
K	Tco_006654
T	Tco_006655
S	Tco_006656
Z	Tco_006657
S	Tco_006658
S	Tco_006662
L	Tco_006663
J	Tco_006665
K	Tco_006666
O	Tco_006670
L	Tco_006678
S	Tco_006678
T	Tco_006679
S	Tco_006683
S	Tco_006690
T	Tco_006692
S	Tco_006693
BD	Tco_006694
T	Tco_006695
S	Tco_006700
G	Tco_006701
E	Tco_006702
C	Tco_006703
S	Tco_006704
OP	Tco_006706
O	Tco_006707
T	Tco_006708
S	Tco_006712
T	Tco_006714
P	Tco_006719
D	Tco_006720
A	Tco_006722
S	Tco_006724
G	Tco_006725
Z	Tco_006726
OT	Tco_006727
A	Tco_006728
BT	Tco_006729
S	Tco_006730
L	Tco_006731
Q	Tco_006732
P	Tco_006733
Q	Tco_006734
Q	Tco_006735
Q	Tco_006736
P	Tco_006738
M	Tco_006744
U	Tco_006745
U	Tco_006746
C	Tco_006747
G	Tco_006748
O	Tco_006749
O	Tco_006752
O	Tco_006753
O	Tco_006754
O	Tco_006757
O	Tco_006758
O	Tco_006759
O	Tco_006760
O	Tco_006761
O	Tco_006762
B	Tco_006763
O	Tco_006764
O	Tco_006765
O	Tco_006766
O	Tco_006767
B	Tco_006769
S	Tco_006771
TZ	Tco_006772
TZ	Tco_006773
S	Tco_006774
D	Tco_006775
K	Tco_006776
U	Tco_006777
P	Tco_006778
P	Tco_006779
S	Tco_006780
T	Tco_006784
T	Tco_006785
S	Tco_006789
K	Tco_006791
T	Tco_006796
P	Tco_006798
P	Tco_006799
P	Tco_006800
S	Tco_006801
S	Tco_006802
G	Tco_006804
T	Tco_006805
ET	Tco_006806
Q	Tco_006807
T	Tco_006808
J	Tco_006809
I	Tco_006813
O	Tco_006814
I	Tco_006815
T	Tco_006816
U	Tco_006817
K	Tco_006818
T	Tco_006822
T	Tco_006824
T	Tco_006825
UY	Tco_006827
T	Tco_006829
A	Tco_006830
S	Tco_006833
A	Tco_006835
S	Tco_006837
S	Tco_006840
Q	Tco_006841
Q	Tco_006842
Q	Tco_006843
Q	Tco_006844
Q	Tco_006849
S	Tco_006876
S	Tco_006877
S	Tco_006878
S	Tco_006879
S	Tco_006880
S	Tco_006881
S	Tco_006882
S	Tco_006883
S	Tco_006891
P	Tco_006896
D	Tco_006897
U	Tco_006898
A	Tco_006899
K	Tco_006900
S	Tco_006901
U	Tco_006903
S	Tco_006904
S	Tco_006905
O	Tco_006907
K	Tco_006910
K	Tco_006911
K	Tco_006916
K	Tco_006921
A	Tco_006922
K	Tco_006923
P	Tco_006925
O	Tco_006926
G	Tco_006927
T	Tco_006928
EG	Tco_006930
Q	Tco_006933
T	Tco_006934
Q	Tco_006935
Q	Tco_006937
Q	Tco_006941
Q	Tco_006942
Q	Tco_006943
Q	Tco_006945
K	Tco_006947
D	Tco_006948
S	Tco_006949
L	Tco_006951
Q	Tco_006953
B	Tco_006954
Q	Tco_006955
Q	Tco_006959
Q	Tco_006960
S	Tco_006961
S	Tco_006967
Q	Tco_006968
J	Tco_006970
S	Tco_006971
S	Tco_006972
G	Tco_006973
DKL	Tco_006974
U	Tco_006975
S	Tco_006976
O	Tco_006977
S	Tco_006978
LT	Tco_006979
O	Tco_006980
P	Tco_006982
K	Tco_006985
L	Tco_006987
S	Tco_006988
T	Tco_006991
S	Tco_006993
A	Tco_006994
S	Tco_006995
J	Tco_006997
Q	Tco_006998
Q	Tco_006999
Q	Tco_007001
Q	Tco_007004
Q	Tco_007005
Q	Tco_007007
Q	Tco_007008
L	Tco_007012
Q	Tco_007013
Q	Tco_007014
Q	Tco_007016
Q	Tco_007017
Q	Tco_007018
Q	Tco_007020
Q	Tco_007021
Q	Tco_007023
Q	Tco_007024
Q	Tco_007025
L	Tco_007061
O	Tco_007063
L	Tco_007066
A	Tco_007067
O	Tco_007071
L	Tco_007079
S	Tco_007086
E	Tco_007089
E	Tco_007090
A	Tco_007091
L	Tco_007092
S	Tco_007107
U	Tco_007108
U	Tco_007109
G	Tco_007112
D	Tco_007120
T	Tco_007123
A	Tco_007125
O	Tco_007129
Z	Tco_007135
L	Tco_007138
T	Tco_007141
G	Tco_007142
S	Tco_007148
BD	Tco_007151
S	Tco_007152
S	Tco_007153
L	Tco_007154
P	Tco_007155
S	Tco_007161
F	Tco_007162
I	Tco_007164
T	Tco_007170
A	Tco_007172
M	Tco_007175
JK	Tco_007176
L	Tco_007177
Z	Tco_007181
TZ	Tco_007183
T	Tco_007189
L	Tco_007190
L	Tco_007192
T	Tco_007196
E	Tco_007199
U	Tco_007204
S	Tco_007205
C	Tco_007206
C	Tco_007207
D	Tco_007209
S	Tco_007211
S	Tco_007213
S	Tco_007214
K	Tco_007216
I	Tco_007217
S	Tco_007218
P	Tco_007219
K	Tco_007220
K	Tco_007221
S	Tco_007222
J	Tco_007223
P	Tco_007224
S	Tco_007225
B	Tco_007227
K	Tco_007230
S	Tco_007232
G	Tco_007234
G	Tco_007235
G	Tco_007236
G	Tco_007238
G	Tco_007239
S	Tco_007240
MW	Tco_007244
T	Tco_007250
S	Tco_007251
S	Tco_007253
K	Tco_007254
U	Tco_007255
S	Tco_007257
K	Tco_007259
S	Tco_007260
O	Tco_007261
O	Tco_007262
T	Tco_007263
Q	Tco_007264
S	Tco_007265
S	Tco_007266
I	Tco_007267
S	Tco_007278
S	Tco_007280
I	Tco_007281
U	Tco_007284
L	Tco_007285
G	Tco_007286
T	Tco_007287
S	Tco_007296
S	Tco_007298
K	Tco_007303
E	Tco_007304
K	Tco_007305
K	Tco_007307
C	Tco_007313
K	Tco_007320
K	Tco_007322
CH	Tco_007324
L	Tco_007327
L	Tco_007328
K	Tco_007332
K	Tco_007336
BD	Tco_007337
S	Tco_007339
K	Tco_007340
K	Tco_007341
K	Tco_007342
D	Tco_007343
P	Tco_007349
O	Tco_007350
S	Tco_007351
O	Tco_007352
S	Tco_007354
K	Tco_007355
S	Tco_007356
S	Tco_007357
O	Tco_007358
S	Tco_007359
F	Tco_007360
Z	Tco_007362
Z	Tco_007363
T	Tco_007366
B	Tco_007367
G	Tco_007368
G	Tco_007369
P	Tco_007373
T	Tco_007375
K	Tco_007376
S	Tco_007378
H	Tco_007379
T	Tco_007381
BD	Tco_007422
A	Tco_007424
O	Tco_007425
O	Tco_007431
S	Tco_007433
DZ	Tco_007434
S	Tco_007435
F	Tco_007436
S	Tco_007439
O	Tco_007440
S	Tco_007441
G	Tco_007443
S	Tco_007444
S	Tco_007446
T	Tco_007448
Z	Tco_007449
O	Tco_007451
S	Tco_007452
K	Tco_007453
S	Tco_007462
T	Tco_007463
O	Tco_007464
G	Tco_007466
L	Tco_007468
E	Tco_007471
S	Tco_007472
PT	Tco_007473
T	Tco_007474
K	Tco_007475
S	Tco_007476
S	Tco_007477
D	Tco_007478
U	Tco_007481
S	Tco_007482
Z	Tco_007483
G	Tco_007484
O	Tco_007485
K	Tco_007488
F	Tco_007489
O	Tco_007490
T	Tco_007491
S	Tco_007493
S	Tco_007495
J	Tco_007497
K	Tco_007498
E	Tco_007499
S	Tco_007500
T	Tco_007504
T	Tco_007505
T	Tco_007507
F	Tco_007509
O	Tco_007512
S	Tco_007513
U	Tco_007514
S	Tco_007515
S	Tco_007517
P	Tco_007518
EPT	Tco_007519
EPT	Tco_007520
EPT	Tco_007522
EPT	Tco_007523
EPT	Tco_007524
O	Tco_007525
EPT	Tco_007526
G	Tco_007527
Q	Tco_007528
M	Tco_007531
S	Tco_007532
K	Tco_007536
K	Tco_007544
K	Tco_007547
K	Tco_007548
K	Tco_007551
K	Tco_007552
K	Tco_007555
K	Tco_007557
S	Tco_007561
O	Tco_007563
U	Tco_007564
D	Tco_007565
S	Tco_007566
O	Tco_007567
K	Tco_007568
S	Tco_007588
S	Tco_007589
S	Tco_007590
S	Tco_007592
S	Tco_007595
U	Tco_007599
T	Tco_007606
H	Tco_007615
H	Tco_007616
H	Tco_007617
S	Tco_007618
S	Tco_007619
A	Tco_007623
U	Tco_007624
T	Tco_007626
T	Tco_007630
T	Tco_007631
O	Tco_007632
G	Tco_007633
G	Tco_007634
P	Tco_007644
S	Tco_007645
U	Tco_007647
A	Tco_007648
J	Tco_007649
J	Tco_007650
K	Tco_007652
P	Tco_007655
O	Tco_007656
S	Tco_007657
I	Tco_007658
G	Tco_007660
S	Tco_007661
E	Tco_007662
T	Tco_007663
S	Tco_007665
K	Tco_007666
S	Tco_007667
Q	Tco_007669
T	Tco_007670
S	Tco_007671
U	Tco_007672
U	Tco_007673
G	Tco_007674
A	Tco_007679
S	Tco_007680
S	Tco_007681
S	Tco_007682
J	Tco_007683
S	Tco_007684
T	Tco_007685
T	Tco_007686
S	Tco_007687
S	Tco_007688
T	Tco_007689
IT	Tco_007690
O	Tco_007691
A	Tco_007695
S	Tco_007696
U	Tco_007697
Q	Tco_007698
Q	Tco_007699
S	Tco_007700
S	Tco_007701
L	Tco_007702
G	Tco_007703
S	Tco_007704
K	Tco_007705
C	Tco_007706
EPT	Tco_007707
T	Tco_007709
Q	Tco_007710
S	Tco_007711
S	Tco_007712
J	Tco_007713
S	Tco_007714
S	Tco_007715
J	Tco_007716
G	Tco_007717
S	Tco_007718
G	Tco_007719
G	Tco_007720
G	Tco_007721
J	Tco_007722
A	Tco_007723
S	Tco_007724
T	Tco_007725
J	Tco_007726
G	Tco_007727
S	Tco_007728
G	Tco_007729
G	Tco_007730
G	Tco_007731
J	Tco_007732
A	Tco_007733
S	Tco_007734
K	Tco_007735
K	Tco_007736
C	Tco_007737
L	Tco_007738
K	Tco_007739
T	Tco_007740
A	Tco_007741
GO	Tco_007742
GO	Tco_007743
O	Tco_007744
S	Tco_007745
A	Tco_007746
S	Tco_007747
I	Tco_007748
S	Tco_007749
T	Tco_007750
L	Tco_007751
S	Tco_007752
H	Tco_007753
K	Tco_007756
K	Tco_007757
ADL	Tco_007759
O	Tco_007760
O	Tco_007761
W	Tco_007762
T	Tco_007763
S	Tco_007765
B	Tco_007766
K	Tco_007767
U	Tco_007768
T	Tco_007769
IT	Tco_007770
K	Tco_007771
S	Tco_007772
Z	Tco_007773
Z	Tco_007774
K	Tco_007775
K	Tco_007776
Q	Tco_007778
O	Tco_007779
T	Tco_007781
K	Tco_007784
JK	Tco_007785
T	Tco_007786
S	Tco_007789
O	Tco_007790
S	Tco_007792
O	Tco_007794
CO	Tco_007795
S	Tco_007796
P	Tco_007799
D	Tco_007800
S	Tco_007802
O	Tco_007803
S	Tco_007804
O	Tco_007805
H	Tco_007807
S	Tco_007808
KL	Tco_007809
T	Tco_007810
S	Tco_007811
D	Tco_007812
P	Tco_007813
P	Tco_007814
P	Tco_007815
S	Tco_007816
DUZ	Tco_007817
DUZ	Tco_007819
K	Tco_007821
S	Tco_007826
J	Tco_007827
S	Tco_007828
T	Tco_007836
T	Tco_007838
T	Tco_007839
T	Tco_007840
Z	Tco_007841
Z	Tco_007842
Z	Tco_007843
T	Tco_007844
S	Tco_007845
S	Tco_007846
T	Tco_007847
T	Tco_007848
T	Tco_007849
J	Tco_007850
PT	Tco_007851
T	Tco_007852
S	Tco_007853
S	Tco_007859
S	Tco_007862
S	Tco_007863
P	Tco_007865
I	Tco_007867
S	Tco_007868
S	Tco_007869
S	Tco_007870
K	Tco_007871
S	Tco_007872
S	Tco_007873
S	Tco_007875
I	Tco_007876
L	Tco_007877
S	Tco_007879
S	Tco_007880
P	Tco_007881
S	Tco_007882
DK	Tco_007883
T	Tco_007884
T	Tco_007886
S	Tco_007888
J	Tco_007890
S	Tco_007891
S	Tco_007892
B	Tco_007893
E	Tco_007894
P	Tco_007895
A	Tco_007896
S	Tco_007897
S	Tco_007898
Q	Tco_007899
Q	Tco_007900
Q	Tco_007901
C	Tco_007902
J	Tco_007904
K	Tco_007905
S	Tco_007906
Q	Tco_007908
P	Tco_007909
S	Tco_007910
S	Tco_007911
K	Tco_007912
O	Tco_007913
S	Tco_007915
T	Tco_007917
T	Tco_007918
T	Tco_007919
S	Tco_007920
T	Tco_007922
T	Tco_007923
T	Tco_007924
T	Tco_007925
T	Tco_007926
T	Tco_007927
T	Tco_007929
S	Tco_007930
E	Tco_007932
T	Tco_007933
S	Tco_007934
U	Tco_007935
T	Tco_007936
A	Tco_007941
A	Tco_007946
S	Tco_007947
T	Tco_007948
DL	Tco_007950
U	Tco_007951
S	Tco_007954
S	Tco_007959
A	Tco_007960
C	Tco_007961
L	Tco_007962
I	Tco_007963
J	Tco_007964
KL	Tco_007965
S	Tco_007966
S	Tco_007967
Z	Tco_007968
T	Tco_007969
T	Tco_007970
S	Tco_007971
A	Tco_007973
U	Tco_007974
Z	Tco_007975
J	Tco_007977
Z	Tco_007978
K	Tco_007980
A	Tco_007982
V	Tco_007984
S	Tco_007985
K	Tco_007987
S	Tco_007988
Q	Tco_007989
O	Tco_007990
S	Tco_007991
UZ	Tco_007992
GT	Tco_007993
K	Tco_007994
K	Tco_007995
K	Tco_007996
S	Tco_007997
S	Tco_007999
Q	Tco_008000
IT	Tco_008001
Z	Tco_008002
T	Tco_008003
S	Tco_008004
I	Tco_008005
S	Tco_008006
S	Tco_008007
L	Tco_008008
J	Tco_008009
U	Tco_008010
S	Tco_008011
S	Tco_008012
L	Tco_008013
S	Tco_008014
U	Tco_008015
S	Tco_008016
M	Tco_008017
S	Tco_008019
U	Tco_008020
O	Tco_008021
IT	Tco_008022
IT	Tco_008023
U	Tco_008024
EG	Tco_008025
S	Tco_008026
S	Tco_008027
S	Tco_008028
S	Tco_008029
G	Tco_008030
S	Tco_008031
O	Tco_008032
G	Tco_008033
O	Tco_008034
C	Tco_008035
S	Tco_008036
S	Tco_008038
A	Tco_008039
O	Tco_008040
S	Tco_008041
V	Tco_008042
J	Tco_008043
A	Tco_008044
U	Tco_008045
S	Tco_008048
S	Tco_008049
Z	Tco_008050
S	Tco_008051
S	Tco_008052
S	Tco_008053
J	Tco_008054
O	Tco_008055
Q	Tco_008056
Q	Tco_008057
A	Tco_008058
L	Tco_008059
S	Tco_008062
S	Tco_008063
O	Tco_008064
O	Tco_008065
C	Tco_008066
S	Tco_008067
T	Tco_008069
G	Tco_008070
O	Tco_008072
A	Tco_008074
S	Tco_008075
A	Tco_008076
S	Tco_008077
S	Tco_008078
J	Tco_008079
L	Tco_008080
S	Tco_008081
S	Tco_008082
L	Tco_008083
T	Tco_008084
J	Tco_008086
U	Tco_008087
A	Tco_008088
O	Tco_008089
T	Tco_008090
G	Tco_008091
S	Tco_008092
J	Tco_008093
B	Tco_008094
S	Tco_008095
E	Tco_008098
I	Tco_008099
A	Tco_008100
S	Tco_008101
S	Tco_008102
K	Tco_008103
Z	Tco_008105
I	Tco_008106
S	Tco_008107
T	Tco_008108
C	Tco_008109
G	Tco_008110
D	Tco_008111
Z	Tco_008114
T	Tco_008115
A	Tco_008116
U	Tco_008117
S	Tco_008118
K	Tco_008119
L	Tco_008120
K	Tco_008121
Z	Tco_008126
S	Tco_008127
E	Tco_008128
E	Tco_008129
UY	Tco_008130
K	Tco_008132
K	Tco_008134
K	Tco_008135
S	Tco_008136
S	Tco_008138
S	Tco_008139
Q	Tco_008140
S	Tco_008141
J	Tco_008142
J	Tco_008143
T	Tco_008144
C	Tco_008145
S	Tco_008146
T	Tco_008147
UY	Tco_008149
S	Tco_008150
F	Tco_008151
PT	Tco_008152
A	Tco_008153
P	Tco_008154
P	Tco_008156
S	Tco_008157
J	Tco_008158
I	Tco_008161
TU	Tco_008162
V	Tco_008163
S	Tco_008164
S	Tco_008165
Z	Tco_008166
H	Tco_008167
