Genes	Preferred_name	Description
Tco_007862	HGH1	Family with sequence similarity 203, member A
Tco_007863		GTP binding. It is involved in the biological process described with
Tco_007865	Fer3HCH	Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation
Tco_007867	MVK	GHMP kinases C terminal
Tco_007868	TBCCD1	TBCC domain-containing protein 1
Tco_007869	TBCCD1	maintenance of Golgi location
Tco_007870	INTS2	It is involved in the biological process described with snRNA processing
Tco_007871	MED31	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
Tco_007872		Transporter activity. It is involved in the biological process described with transmembrane transport
Tco_007873		Transporter activity. It is involved in the biological process described with transmembrane transport
Tco_007875		Transporter activity. It is involved in the biological process described with transmembrane transport
Tco_007876		nucleoside triphosphate catabolic process
Tco_007877		DNA recombination
Tco_007879		Transporter activity. It is involved in the biological process described with transmembrane transport
Tco_007880	SELENOM	corticosterone secretion
Tco_007881		Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Tco_007882		Leucine-zipper-like transcriptional regulator
Tco_007883		Sds3-like
Tco_007884		ATP binding. It is involved in the biological process described with protein phosphorylation
Tco_007886		ATP binding. It is involved in the biological process described with protein phosphorylation
Tco_007888		Aspartic-type endopeptidase activity
Tco_007890		It is involved in the biological process described with ribosome biogenesis
Tco_007891		Sulfotransferase domain
Tco_007892		Sulfotransferase domain
Tco_007893		Zinc ion binding
Tco_007894	PIPOX	Pipecolic acid oxidase
Tco_007895		Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Tco_007896		Mediator of CRAC channel activity
Tco_007897	CCDC65	Coiled-coil domain containing 65
Tco_007898		Ion channel regulatory protein UNC-93
Tco_007899		Methyltransferase domain
Tco_007900		Zgc 162396
Tco_007901		Zgc 162396
Tco_007902	TYW1	tRNA-4-demethylwyosine synthase activity
Tco_007904	pelo	May function in recognizing stalled ribosomes and triggering endonucleolytic cleavage of the mRNA, a mechanism to release non-functional ribosomes and degrade damaged mRNAs
Tco_007905	XBP1	X-box binding protein 1
Tco_007906		Zinc-finger associated domain (zf-AD)
Tco_007908		ABC transporter transmembrane region
Tco_007909		Eukaryotic-type carbonic anhydrase
Tco_007910	rempA	Intraflagellar transport protein 140
Tco_007911		Thrombospondin type 1 repeats
Tco_007912	MED21	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
Tco_007913		protein modification by small protein conjugation
Tco_007915		Actin binding. It is involved in the biological process described with negative regulation of cell proliferation
Tco_007917	AdoR	G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_007918		Calcineurin-like phosphoesterase superfamily domain
Tco_007919		ATP binding. It is involved in the biological process described with protein phosphorylation
Tco_007920		Vitamin B6 photo-protection and homoeostasis
Tco_007922		RNA binding
Tco_007923		It is involved in the biological process described with signal transduction
Tco_007924		It is involved in the biological process described with signal transduction
Tco_007925	Toll-6	It is involved in the biological process described with signal transduction
Tco_007926		It is involved in the biological process described with signal transduction
Tco_007927		It is involved in the biological process described with signal transduction
Tco_007929		It is involved in the biological process described with signal transduction
Tco_007930		tissue development
Tco_007932		2OG-Fe(II) oxygenase superfamily
Tco_007933	Atg1	It is involved in the biological process described with protein phosphorylation
Tco_007934	ASPDH	aspartate dehydrogenase activity
Tco_007935	Chc	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles
Tco_007936		ATP binding. It is involved in the biological process described with protein phosphorylation
Tco_007941		RNA recognition motif
Tco_007946		nucleic acid binding
Tco_007947	DERL2	negative regulation of retrograde protein transport, ER to cytosol
Tco_007948		Catalytic activity
Tco_007950	RAD9B	intra-S DNA damage checkpoint
Tco_007951		Acts as component of the retromer cargo-selective complex (CSC). The CSC is believed to be the core functional component of retromer or respective retromer complex variants acting to prevent missorting of selected transmembrane cargo proteins into the lysosomal degradation pathway
Tco_007954		Autism susceptibility gene 2 protein
Tco_007959		Autism susceptibility gene 2 protein
Tco_007960		U1 zinc finger
Tco_007961	ox	It is involved in the biological process described with mitochondrial electron transport, ubiquinol to cytochrome c
Tco_007962		Catalytic subunit of a heterodimeric structure-specific endonuclease that resolves DNA secondary structures generated during DNA repair and recombination. Has endonuclease activity towards branched DNA substrates, introducing single-strand cuts in duplex DNA close to junctions with ss-DNA
Tco_007963		Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family
Tco_007964	EIF2B1	Eukaryotic translation initiation factor 2B, subunit 1 alpha
Tco_007965	Tfb4	It is involved in the biological process described with
Tco_007966		VKc
Tco_007967	thoc5	THO complex subunit
Tco_007968		Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Tco_007969		Catalytic activity
Tco_007970	KLHL41	Kelch-like
Tco_007971		von Willebrand factor (vWF) type C domain
Tco_007973	SMG6	nonsense mediated mRNA decay factor
Tco_007974		Zinc ion binding
Tco_007975	Lis-1	Positively regulates the activity of the minus-end directed microtubule motor protein dynein. May enhance dynein- mediated microtubule sliding by targeting dynein to the microtubule plus end. Required for several dynein- and microtubule-dependent processes
Tco_007977		Belongs to the methyltransferase superfamily. METTL16 RlmF family
Tco_007978		mRNA-binding protein involved in proper cytoplasmic distribution of mitochondria
Tco_007980		Transcription elongation factor that enhances transcription elongation by RNA polymerase II (RNAPII)
Tco_007982	GLE1	GLE1 RNA export mediator
Tco_007984		phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Tco_007985	CENPC	Centromere protein C
Tco_007987	spt4	Component of the DRB sensitivity-inducing factor complex (DSIF complex), which regulates transcription elongation by RNA polymerase II
Tco_007988	SPATA22	meiotic DNA repair synthesis
Tco_007989	CYP315A1	heme binding. It is involved in the biological process described with oxidation-reduction process
Tco_007990	PEX12	protein import into peroxisome matrix
Tco_007991		Transmembrane 219
Tco_007992	Flo2	prohibitin homologues
Tco_007993	PPP4C	phosphoprotein phosphatase activity
Tco_007994		helix loop helix domain
Tco_007995	Mio	carbohydrate response element binding
Tco_007996	Mio	protein dimerization activity
Tco_007997	CCDC86	Coiled-coil domain-containing protein 86
Tco_007999		Small acidic protein family
Tco_008000		Belongs to the short-chain dehydrogenases reductases (SDR) family
Tco_008001	rdgB	Metal ion binding. It is involved in the biological process described with transport
Tco_008002	MVP	regulation of signaling
Tco_008003	CIT	mitotic cytokinesis
Tco_008004	cl	Eukaryotic protein of unknown function (DUF953)
Tco_008005	ACADS	oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor
Tco_008006		Belongs to the DHHC palmitoyltransferase family
Tco_008007		Metal ion binding
Tco_008008	RAD51D	RAD51 paralog D
Tco_008009		Translational activator
Tco_008010		GTP binding. It is involved in the biological process described with protein transport
Tco_008011		Alpha beta hydrolase domain-containing protein 11-like
Tco_008012		Golgi to secretory granule transport
Tco_008013	RAD51C	both complexes bind predominantly to the intersection of the four duplex arms of the Holliday junction (HJ) and to junction of replication forks. The BCDX2 complex was originally reported to bind single-stranded DNA, single-stranded gaps in duplex DNA and specifically to nicks in duplex DNA. The BCDX2 subcomplex RAD51B RAD51C exhibits single-stranded DNA-dependent ATPase activity suggesting an involvement in early stages of the HR pathway. Involved in RAD51 foci formation in response to DNA damage suggesting an involvement in early stages of HR probably in the invasion step. Has an early function in DNA repair in facilitating phosphorylation of the checkpoint kinase CHEK2 and thereby transduction of the damage signal, leading to cell cycle arrest and HR activation. Participates in branch migration and HJ resolution and thus is important for processing HR intermediates late in the DNA repair process
Tco_008014		Rab GTPase activator activity. It is involved in the biological process described with regulation of Rab GTPase activity
Tco_008015	car	Belongs to the STXBP unc-18 SEC1 family
Tco_008016		Coiled-coil domain-containing protein 117
Tco_008017	PIGL	N-acetylglucosaminylphosphatidylinositol deacetylase activity
Tco_008019	C11orf54	Chromosome 11 open reading frame 54
Tco_008020		Belongs to the OSBP family
Tco_008021	Bre1	E3 ubiquitin-protein ligase Bre1-like
Tco_008022	vib	Phosphatidylinositol transfer protein
Tco_008023	vib	Phosphatidylinositol transfer protein
Tco_008024		intracellular protein transport
Tco_008025		EamA-like transporter family
Tco_008026		Zinc ion binding
Tco_008027		domain in TBC and LysM domain containing proteins
Tco_008028	SMPD4	sphingomyelin phosphodiesterase D activity
Tco_008029		Nuclear cap-binding protein subunit 3
Tco_008030		Fructose-bisphosphate aldolase activity. It is involved in the biological process described with glycolytic process
Tco_008031		Nuclear RNA-splicing-associated protein
Tco_008032		Zinc ion binding
Tco_008033		phosphorylase kinase activity. It is involved in the biological process described with protein phosphorylation
Tco_008034		cAMP binding
Tco_008035		Belongs to the mitochondrial carrier (TC 2.A.29) family
Tco_008036	SELENOM	corticosterone secretion
Tco_008038	SELENOM	corticosterone secretion
Tco_008039	Rnp4F	nucleic acid binding
Tco_008040		Belongs to the 14-3-3 family
Tco_008041	GGNBP2	gametogenetin binding protein 2
Tco_008042		Macrophage migration inhibitory factor (MIF)
Tco_008043	eIF3-S8	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
Tco_008044		methyltransferase involved in the maturation of rRNA and in the biogenesis of ribosomal subunits
Tco_008045	IFT22	GTP binding
Tco_008048		Domain present in PSD-95, Dlg, and ZO-1/2.
Tco_008049	Prp19	Ubiquitin-protein transferase activity. It is involved in the biological process described with protein ubiquitination
Tco_008050	Myo1B	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Tco_008051	GPATCH3	G patch domain-containing protein 3
Tco_008052		metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis
Tco_008053		Carboxypeptidase regulatory-like domain
Tco_008054		This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
Tco_008055	AIPL1	aryl hydrocarbon receptor interacting
Tco_008056	Cyp18a1	Cytochrome P450
Tco_008057	CYP306A1	heme binding. It is involved in the biological process described with oxidation-reduction process
Tco_008058		RNA helicase
Tco_008059	ANKRD32	ankyrin repeat
Tco_008062		7 transmembrane receptor (Secretin family)
Tco_008063	ANKFY1	Protein present in Fab1, YOTB, Vac1, and EEA1
Tco_008064	NFATC2IP	protein tag
Tco_008065		Matrixin
Tco_008066		Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family
Tco_008067		Ocular albinism type 1 protein
Tco_008069	lok	protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Tco_008070		Phospholipase B-like
Tco_008072		It is involved in the biological process described with phospholipid metabolic process
Tco_008074		U5 snRNA binding
Tco_008075		Serine threonine-protein phosphatase Pgam5, mitochondrial
Tco_008076	DDX52	RNA secondary structure unwinding
Tco_008077	PTRH2	aminoacyl-tRNA hydrolase activity
Tco_008078	TRMT44	tRNA (uracil) methyltransferase activity
Tco_008079	RPL23A	Belongs to the universal ribosomal protein uL23 family
Tco_008080	CDC45	Cell division control protein 45 homolog
Tco_008081	DDT	phenylpyruvate tautomerase activity
Tco_008082	RWDD4	RWD domain containing 4
Tco_008083	GINS2	cell cycle DNA replication initiation
Tco_008084		zinc ion binding. It is involved in the biological process described with positive regulation of JNK cascade
Tco_008086		Methyltransferase
Tco_008087		Vacuolar protein sorting-associated protein 53
Tco_008088	kz	ATP-dependent helicase activity
Tco_008089		It is involved in the biological process described with cell redox homeostasis
Tco_008090		negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning
Tco_008091		Alg9-like mannosyltransferase family
Tco_008092	gry	Gryzun, putative Golgi trafficking
Tco_008093	mRpL44	It is involved in the biological process described with RNA processing
Tco_008094		Required for replication-independent chromatin assembly and for the periodic repression of histone gene transcription during the cell cycle
Tco_008095		7 transmembrane receptor (rhodopsin family)
Tco_008098	GGT1	leukotriene D4 biosynthetic process
Tco_008098	GGT1	glutathione hydrolase activity
Tco_008099		gamma-glutamyltransferase activity. It is involved in the biological process described with glutathione metabolic process
Tco_008100	PES1	nucleolus organization
Tco_008101		zinc finger
Tco_008102		zinc finger
Tco_008103		Zinc finger HIT domain-containing protein
Tco_008105		Growth-Arrest-Specific Protein 2 Domain
Tco_008106	AACS	acetoacetyl-CoA synthetase
Tco_008107	SETD6	peptidyl-lysine monomethylation
Tco_008108	Pk17E	ATP binding. It is involved in the biological process described with protein phosphorylation
Tco_008109	COX6A1	Cytochrome c oxidase subunit
Tco_008110		Fructosamine kinase
Tco_008111		Required for proper homologous chromosome pairing and efficient cross-over and intragenic recombination during meiosis
Tco_008114		actin binding
Tco_008115		serine threonine-protein phosphatase
Tco_008116		LsmAD
Tco_008117		Rab GTPase activator activity. It is involved in the biological process described with regulation of Rab GTPase activity
Tco_008118	LRWD1	Leucine-rich repeat and WD repeat-containing protein 1
Tco_008119	MED19	RNA polymerase II transcription cofactor activity. It is involved in the biological process described with regulation of transcription from RNA polymerase II promoter
Tco_008120	RAD54B	RAD54 homolog B (S. cerevisiae)
Tco_008121		Transcription elongation factor that enhances transcription elongation by RNA polymerase II (RNAPII)
Tco_008126	TEKT1	Tektin family
Tco_008127		Transglutaminase-like superfamily
Tco_008128		gamma-glutamyltransferase activity. It is involved in the biological process described with glutathione metabolic process
Tco_008129		gamma-glutamyltransferase activity. It is involved in the biological process described with glutathione metabolic process
Tco_008130	NUP88	Nuclear pore complex protein
Tco_008132		CUT
Tco_008134		CUT
Tco_008135		CASP C terminal
Tco_008136	CCDC114	outer dynein arm assembly
Tco_008138	CCDC42	Coiled-coil domain-containing protein
Tco_008139	Nipsnap	NIPSNAP
Tco_008140		Belongs to the short-chain dehydrogenases reductases (SDR) family
Tco_008141	TMEM17	smoothened signaling pathway
Tco_008142	mRpL16	rRNA binding. It is involved in the biological process described with translation
Tco_008143		RNA binding. It is involved in the biological process described with RNA processing
Tco_008144		protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Tco_008145	Nos	Produces nitric oxide (NO)
Tco_008146	RPAIN	RPA interacting protein
Tco_008147	dp	Calcium ion binding
Tco_008149	ALKBH4	cleavage furrow ingression
Tco_008150	NIF3L1	transcription factor binding
Tco_008151	QPRT	quinolinate catabolic process
Tco_008152		G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_008153		DNA excision repair protein
Tco_008154		Ion channel
Tco_008156		Ion channel
Tco_008157		iron ion binding. It is involved in the biological process described with oxidation-reduction process
Tco_008158		B3/4 domain
Tco_008161		Belongs to the beta-ketoacyl-ACP synthases family
Tco_008162		Dynamin family
Tco_008163		Complement component 1 Q subcomponent-binding protein
Tco_008164		Uncharacterised protein family (UPF0203)
Tco_008165		Endoplasmic reticulum-based factor for assembly of V-ATPase
Tco_008166		It is involved in the biological process described with microtubule-based movement
Tco_008167	coq5	Methyltransferase required for the conversion of 2- polyprenyl-6-methoxy-1,4-benzoquinol (DDMQH2) to 2-polyprenyl-3- methyl-6-methoxy-1,4-benzoquinol (DMQH2)
Tco_008168	ctp	It is involved in the biological process described with microtubule-based process
Tco_008169		nucleic acid binding
Tco_008170		Domain of unknown function (DUF4807)
Tco_008171	GstT2	Glutathione S-transferase, C-terminal domain
Tco_008172		Plays an important role in the degradation of dermatan and keratan sulfates
Tco_008173	IFT20	Intraflagellar transport protein 20
Tco_008174		It is involved in the biological process described with protein homooligomerization
Tco_008175		Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport
Tco_008176		Transmembrane protein family 132
Tco_008178		Pyridine nucleotide-disulphide oxidoreductase
Tco_008179	su(w[a])	Alternative splicing regulator
Tco_008180	Chchd2	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2
Tco_008183		Zinc-binding domain present in Lin-11, Isl-1, Mec-3.
Tco_008185		WD domain, G-beta repeat
Tco_008186		Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
Tco_008187		Src homology 3 domains
Tco_008188		Zinc ion binding
Tco_008189		Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Tco_008190		Zinc ion binding
Tco_008191	ASPHD2	dioxygenase activity
Tco_008192	Rph	It is involved in the biological process described with intracellular protein transport
Tco_008194	Nf1	Ras GTPase activator activity. It is involved in the biological process described with positive regulation of Ras GTPase activity
Tco_008195		Cyclic nucleotide-monophosphate binding domain
Tco_008196		protein modification by small protein conjugation
Tco_008197		G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_008198		Transmembrane protein 120
Tco_008199		It is involved in the biological process described with transmembrane transport
Tco_008200	VMP1	Vacuole membrane protein 1
Tco_008201		Major Facilitator Superfamily
Tco_008202		chromatin remodeling
Tco_008203		DNA-directed DNA polymerase activity. It is involved in the biological process described with transcription, DNA-templated
Tco_008204		nucleic acid binding
Tco_008205		transporter activity. It is involved in the biological process described with transport
Tco_008206		nucleic acid binding
Tco_008207	PYURF	GPI anchor biosynthetic process
Tco_008208		It is involved in the biological process described with proteolysis
Tco_008209		It is involved in the biological process described with proteolysis
Tco_008210		Belongs to the two pore domain potassium channel (TC 1.A.1.8) family
Tco_008211	WSB1	protein modification by small protein conjugation
Tco_008212	GLOD4	Glyoxalase domain-containing protein 4
Tco_008213	bckdk	Branched chain alpha-ketoacid dehydrogenase kinase
Tco_008214		RNA recognition motif
Tco_008214		nucleic acid binding
Tco_008215		Rab interacting lysosomal protein
Tco_008216		It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_008217	Setd8	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Tco_008218	aub	Belongs to the argonaute family
Tco_008219		gamma-glutamyltransferase activity. It is involved in the biological process described with glutathione metabolic process
Tco_008220	PPO1	Oxidoreductase activity. It is involved in the biological process described with metabolic process
Tco_008223	DCTPP1	MazG-like family
Tco_008224	Gprk1	Regulator of G protein signalling domain
Tco_008225		CD2 antigen cytoplasmic tail-binding protein 2
Tco_008226	nmo	kinase activity. It is involved in the biological process described with protein phosphorylation
Tco_008229		Zinc finger CCHC domain-containing protein
Tco_008231		Cobalamin binding. It is involved in the biological process described with cobalamin transport
Tco_008232	SYNRG	Synergin, gamma
Tco_008233	RPUSD4	tRNA pseudouridine synthesis
Tco_008234	LIMK1	binding. It is involved in the biological process described with protein phosphorylation
Tco_008235		ABC transporter, phosphonate, periplasmic substrate-binding protein
Tco_008236	Tango13	Protein-tyrosine sulfotransferase activity. It is involved in the biological process described with peptidyl-tyrosine sulfation
Tco_008237	ASL	argininosuccinate lyase activity
Tco_008237		Argininosuccinate lyase activity. It is involved in the biological process described with arginine biosynthetic process via ornithine
Tco_008238		It is involved in the biological process described with mitochondrion organization
Tco_008239		Sodium:solute symporter family
Tco_008240		Acyl-CoA dehydrogenase, C-terminal domain
Tco_008241		Acyl-CoA dehydrogenase, C-terminal domain
Tco_008242		protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Tco_008244	AIFM3	apoptosis-inducing factor
Tco_008245	MED15	RNA polymerase II transcription cofactor activity. It is involved in the biological process described with regulation of transcription from RNA polymerase II promoter
Tco_008246		Malate dehydrogenase
Tco_008251		transporter activity. It is involved in the biological process described with sodium ion transport
Tco_008253		C-terminal region of MMR_HSR1 domain
Tco_008254		Zinc ion binding
Tco_008255		Alpha-carbonic anhydrase
Tco_008256	CHFR	mitotic cell cycle checkpoint
Tco_008257	RfC4	positive regulation of DNA-directed DNA polymerase activity
Tco_008258	CCDC74B	Coiled coil protein 74, C terminal
Tco_008259		GTP binding. It is involved in the biological process described with small GTPase mediated signal transduction
Tco_008261	RAB34	phagosome-lysosome fusion
Tco_008262		Conserved hypothetical ATP binding protein
Tco_008263	Arpc3A	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
Tco_008264		Protein serine threonine phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Tco_008265		Calponin homology domain
Tco_008266	ZSWIM7	zinc finger
Tco_008267		Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds. It is involved in the biological process described with nitrogen compound metabolic process
Tco_008268		Guanylylate cyclase
Tco_008268		Peptidase_C39 like family
Tco_008269	SmD3	Small nuclear ribonucleoprotein SM
Tco_008270		N-acetyllactosaminide
Tco_008272		Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Tco_008273	ALDH7A1	Aldehyde dehydrogenase 7 family member A1
Tco_008273	ALDH7A1	L-aminoadipate-semialdehyde dehydrogenase activity
Tco_008274	HFM1	HFM1, ATP-dependent DNA helicase homolog (S. cerevisiae)
Tco_008277	PXMP2	Mpv17 / PMP22 family
Tco_008278	CD320	endocytosis
Tco_008279		Calpain-like thiol protease family.
Tco_008280	thoc6	THO complex
Tco_008281		Phosphotransferase activity, for other substituted phosphate groups. It is involved in the biological process described with phospholipid biosynthetic process
Tco_008283	APPBP2	Amyloid beta precursor protein (cytoplasmic tail) binding protein 2
Tco_008283	Pat1	Tetratricopeptide repeat
Tco_008284	NOC4L	Nucleolar complex associated 4 homolog (S. cerevisiae)
Tco_008285	dom	DNA- binding
Tco_008286		DNA- binding
Tco_008287	Nos	Produces nitric oxide (NO)
Tco_008289		ABC-2 family transporter protein
Tco_008290		ABC transporter
Tco_008291		ABC-2 family transporter protein
Tco_008292		Pfam:L_HGMIC_fpl
Tco_008295	GOSR1	Involved in transport from the ER to the Golgi apparatus as well as in intra-Golgi transport. It belongs to a super-family of proteins called t-SNAREs or soluble NSF (N-ethylmaleimide- sensitive factor) attachment protein receptor
Tco_008297		BCL7, N-terminal conserver region
Tco_008299		negative regulation of TORC1 signaling
Tco_008300		Belongs to the PI3 PI4-kinase family
Tco_008301		Belongs to the PI3 PI4-kinase family
Tco_008302		It is involved in the biological process described with signal transduction
Tco_008303		DNA- binding
Tco_008304	RAD1	exodeoxyribonuclease III activity
Tco_008305	EXO5	exonuclease
Tco_008307	DAT	Sodium:neurotransmitter symporter family
Tco_008308	MTFP1	Mitochondrial 18 KDa protein (MTP18)
Tco_008309	SDSL	Serine dehydratase-like
Tco_008310		Zinc ion binding
Tco_008311	MZT2B	Mitotic-spindle organizing gamma-tubulin ring associated
Tco_008313		metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis
Tco_008314	RFC5	Replication factor c
Tco_008315		Kinase suppressor of ras
Tco_008316		Histone chaperone domain CHZ
Tco_008317	NAA25	N-terminal peptidyl-methionine acetylation
Tco_008318		Alpha crystallin A chain, N terminal
Tco_008320		Alcohol dehydrogenase transcription factor Myb/SANT-like
Tco_008321		ATP P2X receptor
Tco_008322	Ufd1-like	It is involved in the biological process described with ubiquitin-dependent protein catabolic process
Tco_008328	RNF34	Ring finger protein 34, E3 ubiquitin protein ligase
Tco_008330		Fructosamine kinase
Tco_008335	RNF34	Ring finger protein 34b
Tco_008335	RFFL	domain containing E3 ubiquitin protein ligase
Tco_008336		Sequence-specific DNA binding transcription factor activity. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_008337	PIGS	Phosphatidylinositol glycan anchor biosynthesis, class S
Tco_008338	CENPV	pericentric heterochromatin assembly
Tco_008339		PAXIP1-associated-protein-1 C term PTIP binding protein
Tco_008340	KIF4A	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Tco_008341	B3GALTL	fucose metabolic process
Tco_008341	B3GALTL	Fringe-like
Tco_008342		twin BRCT domain
Tco_008343	HECTD4	E3 ubiquitin protein ligase 4
Tco_008344	Ssrp	Component of the FACT complex, a general chromatin factor that acts to reorganize nucleosomes. The FACT complex is involved in multiple processes that require DNA as a template such as mRNA elongation, DNA replication and DNA repair. During transcription elongation the FACT complex acts as a histone chaperone that both destabilizes and restores nucleosomal structure. It facilitates the passage of RNA polymerase II and transcription by promoting the dissociation of one histone H2A-H2B dimer from the nucleosome, then subsequently promotes the reestablishment of the nucleosome following the passage of RNA polymerase II
Tco_008345		It is involved in the biological process described with glycolipid transport
Tco_008346		Domain with 2 conserved Trp (W) residues
Tco_008347		ion binding. It is involved in the biological process described with proteolysis
Tco_008349	MMP25	hard palate development
Tco_008350		Mucin-2 protein WxxW repeating region
Tco_008352		ribosomal protein L50
Tco_008354	Es2	Nuclear protein Es2
Tco_008355		Glycerophosphoryl diester phosphodiesterase family
Tco_008356		It is involved in the biological process described with regulation of mitotic cell cycle
Tco_008357	SLC15A4	histidine transport
Tco_008358	OGFOD2	2-oxoglutarate and iron-dependent oxygenase
Tco_008359	Chc	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles
Tco_008360	TMED2	somite rostral/caudal axis specification
Tco_008361	MRPL18	ribosomal protein L18
Tco_008362		hematopoietic stem cell homeostasis
Tco_008363	ZNRF3	Wnt receptor catabolic process
Tco_008364		Structural constituent of ribosome. It is involved in the biological process described with
Tco_008365		Mitochondrial ribosome protein 63
Tco_008366	Ndufs8	It is involved in the biological process described with
Tco_008367		microtubule binding
Tco_008368		Lytic polysaccharide mono-oxygenase, cellulose-degrading
Tco_008369	Sirt4	Sir2 family
Tco_008370		ubiquitin-protein
Tco_008371	Syx1A	SNAP receptor activity
Tco_008372	Syx1A	Syntaxin-like protein
Tco_008373	Syx1A	Syntaxin-like protein
Tco_008374	Syx1A	Belongs to the syntaxin family
Tco_008375	ran	GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export. Involved in chromatin condensation and control of cell cycle
Tco_008376	WBSCR22	Williams Beuren syndrome chromosome region 22
Tco_008377		DnaJ molecular chaperone homology domain
Tco_008378		Vacuolar protein
Tco_008379		nucleic acid binding
Tco_008379		Nucleic acid binding
Tco_008380		binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_008382	DNA2	DNA replication, Okazaki fragment processing
Tco_008383	Snr1	It is involved in the biological process described with chromatin remodeling
Tco_008384		assists the folding of proteins upon ATP hydrolysis
Tco_008385	Rpb11	DNA-directed RNA polymerase activity. It is involved in the biological process described with transcription, DNA-templated
Tco_008386		negative regulation of cardiac chamber formation
Tco_008387	ANKMY2	Ankyrin repeat and MYND
Tco_008388		phosphatidylinositol dephosphorylation
Tco_008390		Alpha-carbonic anhydrase
Tco_008391		Converts proline to delta-1-pyrroline-5-carboxylate
Tco_008393	rl	MAP kinase activity. It is involved in the biological process described with protein phosphorylation
Tco_008394		Belongs to the yippee family
Tco_008395	APC7	Anaphase-promoting complex subunit
Tco_008396		Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
Tco_008397		Ion transport protein
Tco_008398		Protein of unknown function (DUF1168)
Tco_008399		Component of the Mediator complex, a coactivator involved in regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
Tco_008400		RNA pol II promoter Fmp27 protein domain
Tco_008401	ACOX3	acyl-CoA oxidase activity
Tco_008402	MRM1	rRNA methyltransferase 1
Tco_008403		Double-stranded RNA binding motif
Tco_008404		Transport and Golgi organisation 2
Tco_008405	TRAFD1	TRAF-type zinc finger
Tco_008406		Eukaryotic protein of unknown function (DUF872)
Tco_008408	KLHL26	development of primary male sexual characteristics
